City,LAT,LON,Weather,Desription,Temp,Temp Feels,Temp Min,Temp Max,Pressure,Humidity,Visibility,Clouds,Wind Speed,country
Mar del Plata,-38.0023,-57.5575,Clear,clear sky,287.66,287.62,286.15,289.82,1019,94,10000,0,3.6,AR
Busselton,-33.65,115.3333,Rain,heavy intensity rain,293.71,293.83,293.71,293.71,1009,77,8348,100,7.15,AU
Tuktoyaktuk,69.4541,-133.0374,Clouds,scattered clouds,270.15,263.53,270.15,270.15,1014,80,10000,40,6.69,CA
Dingle,10.9995,122.6711,Rain,light rain,305.81,308.76,305.81,305.81,1010,50,10000,53,3.65,PH
Punta Arenas,-53.15,-70.9167,Clouds,scattered clouds,276.04,271.52,275.93,276.15,1004,87,10000,40,5.66,CL
Uyutnoye,45.1994,33.3014,Clouds,overcast clouds,284.26,283.05,284.26,284.26,1014,62,10000,100,7.17,UA
Zacualtipán,20.65,-98.6,Clouds,overcast clouds,291.87,291.52,291.87,291.87,1012,66,10000,100,4.37,MX
Faanui,-16.4833,-151.75,Clouds,broken clouds,300.85,303.73,300.85,300.85,1014,74,10000,78,4.65,PF
Vetlanda,57.4289,15.0776,Clouds,broken clouds,273.47,269.18,273.15,273.71,1010,100,10000,75,4.12,SE
Port Alfred,-33.5906,26.891,Rain,light rain,292.55,292.79,292.55,292.55,1014,86,10000,100,7.72,ZA
Lagoa,39.05,-27.9833,Clouds,broken clouds,287.59,286.79,287.59,287.59,1022,65,10000,68,4.26,PT
Vaini,-21.2,-175.2,Drizzle,drizzle,299.15,299.15,299.15,299.15,1011,89,10000,75,3.09,TO
Port Blair,11.6667,92.75,Clouds,broken clouds,302.94,306.58,302.94,302.94,1012,65,10000,73,1.05,IN
Sisimiut,66.9395,-53.6735,Clouds,overcast clouds,275.18,272.16,275.18,275.18,1030,61,10000,100,2.91,GL
Lahat,-3.8,103.5333,Clouds,overcast clouds,305.93,309.86,305.93,305.93,1010,53,10000,90,1.4,ID
Lebu,-37.6167,-73.65,Clouds,broken clouds,285.27,284.89,285.27,285.27,1017,90,10000,77,1.4,CL
Kidal,18.4411,1.4078,Clouds,broken clouds,303.59,301.64,303.59,303.59,1006,11,10000,53,3.06,ML
Tashla,51.7716,52.7427,Clear,clear sky,281.37,279.31,281.37,281.37,1022,64,10000,1,3.35,RU
Sampit,-2.5333,112.95,Clouds,overcast clouds,304.54,308.84,304.54,304.54,1009,60,10000,88,1.43,ID
Lompoc,34.6391,-120.4579,Clear,clear sky,284.39,283.84,283.15,285.93,1022,87,10000,0,2.57,US
Atuona,-9.8,-139.0333,Clouds,scattered clouds,299.6,299.6,299.6,299.6,1013,73,10000,26,5.52,PF
Alexandria,31.2156,29.9553,Clear,clear sky,292.83,292.34,292.83,292.83,1017,57,10000,2,3.79,EG
Salamanca,40.8333,-6.0,Clouds,broken clouds,282.2,280.47,281.48,283.15,1006,93,10000,75,3.09,ES
Taltal,-25.4,-70.4833,Clear,clear sky,289.77,289.65,289.77,289.77,1017,83,10000,0,0.58,CL
Garbolovo,60.3413,30.4955,Clouds,overcast clouds,276.47,273.41,275.93,277.04,1010,75,10000,97,3.3,RU
Ponta do Sol,32.6667,-17.1,Clouds,broken clouds,285.01,284.34,282.04,287.59,1012,80,10000,68,0.89,PT
Kieta,-6.2167,155.6333,Rain,light rain,300.95,303.81,300.95,300.95,1008,73,10000,96,0.89,PG
Sakakah,29.9697,40.2064,Clear,clear sky,292.15,290.47,292.15,292.15,1021,14,10000,0,1.54,SA
New Norfolk,-42.7826,147.0587,Clouds,broken clouds,290.41,290.12,287.59,292.59,1019,74,10000,66,1.34,AU
George Town,5.4112,100.3354,Clouds,few clouds,305.03,313.21,304.82,305.15,1011,70,9000,20,2.57,MY
Kaitangata,-46.2817,169.8464,Rain,light rain,288.15,287.46,288.15,288.15,1015,67,10000,89,6.71,NZ
Trincomalee,8.5711,81.2335,Clouds,broken clouds,304.13,307.95,304.13,304.13,1011,60,10000,56,1.76,LK
San Quintín,30.4833,-115.95,Clear,clear sky,287.9,287.65,287.9,287.9,1019,85,10000,0,1.74,MX
Palmer,42.1584,-72.3287,Clouds,scattered clouds,284.56,284.24,283.71,285.93,1007,95,10000,50,0.78,US
Torbay,47.6666,-52.7314,Clouds,broken clouds,275.59,271.49,274.82,276.48,1009,93,10000,75,4.63,CA
Kahului,20.8947,-156.47,Clouds,broken clouds,295.52,295.85,293.71,298.15,1016,78,10000,75,3.6,US
Anloga,5.7947,0.8973,Clouds,few clouds,298.15,299.0,298.15,298.15,1009,88,10000,20,1.54,GH
Hambantota,6.1241,81.1185,Clouds,scattered clouds,303.15,311.99,303.15,303.15,1012,84,10000,40,4.12,LK
Maragogi,-9.0122,-35.2225,Clouds,scattered clouds,298.24,298.92,298.24,298.24,1012,81,10000,36,2.05,BR
Tuatapere,-46.1333,167.6833,Clouds,overcast clouds,285.93,285.72,285.93,285.93,1018,94,10000,97,6.71,NZ
Inverell,-29.7833,151.1167,Clouds,overcast clouds,294.03,293.27,291.48,295.93,1022,42,10000,88,2.2,AU
Show Low,34.2542,-110.0298,Clouds,broken clouds,277.51,275.79,275.93,279.15,1023,81,10000,75,1.98,US
Kirakira,-10.4544,161.9205,Clouds,scattered clouds,300.95,302.96,300.95,300.95,1008,66,10000,46,1.53,SB
Hermanus,-34.4187,19.2345,Rain,light rain,286.48,286.24,286.48,286.48,1020,91,10000,29,3.84,ZA
Safford,32.834,-109.7076,Clouds,few clouds,285.64,284.46,283.71,287.15,1018,58,10000,20,4.12,US
Am Timan,11.0297,20.2827,Clouds,broken clouds,301.04,301.56,301.04,301.04,1008,51,10000,80,2.92,TD
Qaanaaq,77.484,-69.3632,Clouds,overcast clouds,265.9,260.56,265.9,265.9,1038,84,10000,98,3.36,GL
Kushima,31.4583,131.2333,Rain,moderate rain,289.65,289.81,289.15,290.15,1007,94,10000,90,2.57,JP
Kumluca,36.3703,30.2869,Clouds,overcast clouds,296.76,296.4,296.76,296.76,1017,47,10000,91,1.27,TR
Kautokeino,69.0125,23.0412,Clouds,overcast clouds,265.94,263.08,265.94,265.94,1011,85,10000,100,1.55,NO
Fereydūnkenār,36.6864,52.5225,Mist,mist,290.15,290.52,290.15,290.15,1018,100,5000,90,3.09,IR
Sitka,57.0531,-135.33,Rain,moderate rain,282.15,280.41,282.15,282.15,1005,81,10000,90,3.09,US
Saint George,37.1041,-113.5841,Clear,clear sky,294.15,292.85,294.15,294.15,1020,21,10000,1,4.12,US
Ahipara,-35.1667,173.1667,Clouds,scattered clouds,289.48,288.89,289.48,289.48,1023,66,10000,26,4.22,NZ
Ostrovnoy,68.0531,39.5131,Clouds,overcast clouds,267.44,262.26,267.44,267.44,1008,80,10000,85,3.53,RU
Baykit,61.67,96.37,Clouds,overcast clouds,278.03,275.48,278.03,278.03,1015,72,10000,100,3.05,RU
Katsuura,35.1333,140.3,Clouds,broken clouds,291.22,291.38,289.82,292.15,1008,88,10000,75,8.23,JP
Chicama,-7.8447,-79.1469,Clouds,broken clouds,292.66,292.94,292.66,292.66,1014,87,10000,68,2.12,PE
Mayo,38.8876,-76.5119,Clear,clear sky,294.76,294.54,292.59,297.15,1010,60,10000,1,1.54,US
Caravelas,-17.7125,-39.2481,Rain,light rain,296.21,296.82,296.21,296.21,1015,86,10000,84,1.48,BR
Hithadhoo,-0.6,73.0833,Clouds,scattered clouds,302.19,305.96,302.19,302.19,1012,70,10000,48,4.14,MV
Kedrovyy,56.1667,91.8167,Drizzle,light intensity drizzle,278.15,274.05,278.15,278.15,1016,100,6000,90,6.0,RU
Chumikan,54.7183,135.315,Snow,light snow,273.2,266.54,273.2,273.2,1017,80,5641,100,8.93,RU
Wewak,-3.5534,143.6268,Clouds,overcast clouds,302.96,307.28,302.96,302.96,1007,68,10000,97,4.19,PG
Barcelos,41.5388,-8.6151,Clouds,few clouds,282.07,282.07,281.48,282.59,1008,87,10000,20,1.03,PT
Guerrero Negro,27.9769,-114.0611,Clear,clear sky,288.25,287.98,288.25,288.25,1018,83,10000,0,5.4,MX
Makakilo City,21.3469,-158.0858,Rain,light rain,296.16,296.32,293.71,298.15,1016,69,10000,90,3.09,US
Letterkenny,54.95,-7.7333,Clouds,overcast clouds,278.24,277.14,278.24,278.24,1014,87,10000,100,1.55,IE
Port Augusta,-32.5,137.7667,Clear,clear sky,297.62,296.93,296.15,298.15,1022,31,10000,0,3.6,AU
Chiang Klang,19.2938,100.8617,Clouds,scattered clouds,301.15,304.36,301.15,301.15,1014,74,10000,40,1.54,TH
Roebourne,-20.7833,117.1333,Clear,clear sky,306.51,304.53,306.51,306.51,1013,21,10000,0,4.53,AU
Aras,42.5617,-2.356,Clouds,overcast clouds,282.1,280.68,282.04,282.15,1008,93,10000,90,2.57,ES
Blankenberge,51.3131,3.1323,Rain,moderate rain,279.58,277.29,279.26,279.82,1004,69,6006,100,3.13,BE
Yellowknife,62.456,-114.3525,Clouds,broken clouds,267.15,260.63,267.15,267.15,1020,63,10000,75,5.14,CA
Kruisfontein,-34.0033,24.7314,Clouds,overcast clouds,289.82,289.53,289.82,289.82,1016,76,10000,100,1.79,ZA
Bengkulu,-3.8004,102.2655,Clouds,overcast clouds,302.21,305.64,302.21,302.21,1011,68,10000,89,2.8,ID
Verkh-Usugli,52.7,115.1667,Clouds,overcast clouds,275.25,270.6,275.25,275.25,1006,52,10000,99,5.5,RU
Uberlândia,-18.9186,-48.2772,Clear,clear sky,292.15,291.2,292.15,292.15,1019,42,10000,0,4.12,BR
Flinders,-34.5833,150.8552,Clouds,broken clouds,294.82,294.87,294.82,294.82,1022,70,10000,61,3.58,AU
Tynda,55.1667,124.7167,Snow,light snow,275.35,272.09,275.35,275.35,1008,99,31,100,3.26,RU
Bestöbe,52.4994,73.0975,Clouds,overcast clouds,287.87,286.89,287.87,287.87,1011,57,10000,100,3.96,KZ
Matamoros,25.5333,-103.25,Clouds,overcast clouds,298.68,297.92,298.68,298.68,1008,24,10000,100,6.51,MX
Samarai,-10.6167,150.6667,Clouds,overcast clouds,300.14,302.24,300.14,300.14,1009,73,10000,100,5.02,PG
Paamiut,61.994,-49.6678,Clouds,overcast clouds,275.53,275.53,275.53,275.53,1029,79,10000,100,1.05,GL
Mogadishu,2.0371,45.3438,Clouds,scattered clouds,302.15,304.99,302.15,302.15,1009,65,10000,40,2.06,SO
Mukhen,48.1,136.1,Clouds,broken clouds,287.98,286.04,287.98,287.98,1008,20,10000,76,4.15,RU
Penzance,50.1186,-5.5371,Clouds,few clouds,277.15,274.05,277.15,277.15,1010,93,10000,20,3.57,GB
Dawlatabad,36.4141,64.9053,Clear,clear sky,304.92,302.72,304.92,304.92,1010,11,10000,0,1.08,AF
Castro,-24.7911,-50.0119,Clouds,few clouds,284.06,283.69,284.06,284.06,1020,95,10000,24,2.99,BR
Ribeira Grande,38.5167,-28.7,Clouds,scattered clouds,287.94,287.33,287.94,287.94,1022,71,10000,41,5.65,PT
Bethel,41.3712,-73.414,Clouds,overcast clouds,287.8,287.75,287.04,288.15,1007,93,10000,100,2.48,US
Husavik,66.0449,-17.3389,Clear,clear sky,269.15,266.76,269.15,269.15,1027,93,10000,0,1.54,IS
Pangody,65.85,74.4859,Clouds,overcast clouds,272.15,269.01,272.15,272.15,1007,88,10000,100,2.44,RU
Quang Ngai,15.1167,108.8,Clouds,overcast clouds,305.22,307.4,305.22,305.22,1012,49,10000,99,4.71,VN
Haines Junction,60.7522,-137.5108,Clouds,overcast clouds,278.15,277.05,278.15,278.15,1010,45,10000,91,1.54,CA
Kattivākkam,13.2167,80.3167,Clouds,few clouds,306.62,311.04,306.15,307.04,1010,52,6000,20,3.6,IN
Slave Lake,55.2834,-114.769,Clouds,few clouds,269.15,269.15,269.15,269.15,1019,93,10000,20,1.03,CA
Saint-Pierre,-21.3393,55.4781,Clear,clear sky,299.71,299.71,299.26,300.15,1017,74,10000,0,8.75,RE
Mossamedes,-15.1961,12.1522,Clouds,scattered clouds,296.12,296.35,296.12,296.12,1010,72,10000,38,4.07,AO
Petukhovo,55.0692,67.9019,Clouds,scattered clouds,285.33,283.7,285.33,285.33,1010,42,10000,47,6.04,RU
Nanortalik,60.1432,-45.2371,Clouds,broken clouds,274.7,272.61,274.7,274.7,1030,94,10000,52,1.91,GL
Thompson,55.7435,-97.8558,Clouds,few clouds,267.15,263.35,267.15,267.15,1015,58,10000,20,2.25,CA
Mastic Beach,40.7668,-72.8521,Clouds,few clouds,286.1,285.75,284.82,287.04,1009,88,10000,20,2.06,US
Adrar,20.5022,-10.0711,Clear,clear sky,299.25,299.25,299.25,299.25,1008,20,10000,4,5.02,MR
Saint-Philippe,-21.3585,55.7679,Rain,light rain,299.55,299.55,299.15,300.15,1017,74,10000,0,8.75,RE
Pangkalanbuun,-2.6833,111.6167,Clouds,broken clouds,307.45,311.19,307.45,307.45,1009,47,10000,72,0.71,ID
Norfolk,42.1668,-71.2495,Clear,clear sky,283.48,282.84,282.59,284.26,1009,87,10000,1,0.64,US
Rosarito,32.3333,-117.0333,Clear,clear sky,290.49,290.06,290.15,291.15,1020,68,10000,1,2.54,MX
Hammerfest,70.6634,23.6821,Snow,snow,270.15,265.09,270.15,270.15,1006,93,3000,75,4.12,NO
Mahbūbābād,17.6167,80.0167,Clouds,broken clouds,308.98,309.82,308.98,308.98,1011,33,10000,70,3.65,IN
Krasnyy Yar,46.5331,48.3456,Clear,clear sky,284.98,283.73,284.82,285.15,1022,58,10000,0,7.0,RU
Nowy Dwór Gdański,54.2131,19.1177,Clear,clear sky,278.15,275.59,276.48,279.82,1008,65,10000,0,3.09,PL
Elko,41.0002,-115.5012,Clear,clear sky,285.21,283.2,283.15,287.15,1026,28,10000,1,2.06,US
Saskylakh,71.9167,114.0833,Clouds,overcast clouds,274.12,269.73,274.12,274.12,1013,87,10000,94,4.52,RU
Dongsheng,39.8161,109.9776,Clear,clear sky,284.02,281.61,284.02,284.02,1008,17,10000,7,12.48,CN
Eureka,40.8021,-124.1637,Clouds,broken clouds,283.53,282.82,283.15,283.71,1025,84,10000,75,2.28,US
Klaksvík,62.2266,-6.589,Clouds,few clouds,276.15,272.48,276.15,276.15,1023,70,10000,20,4.12,FO
Dalhousie,32.5333,75.9833,Clouds,scattered clouds,297.78,296.79,297.78,297.78,1012,19,10000,44,1.93,IN
Poso,-1.3959,120.7524,Clouds,broken clouds,303.38,307.3,303.38,303.38,1010,64,10000,59,2.75,ID
Lupiro,-8.3833,36.6667,Clouds,scattered clouds,295.03,295.78,295.03,295.03,1015,96,10000,39,0.31,TZ
Itarema,-2.9248,-39.9167,Clouds,overcast clouds,297.77,298.59,297.77,297.77,1010,88,10000,100,3.07,BR
Pisco,-13.7,-76.2167,Clouds,few clouds,290.25,290.31,290.15,290.37,1015,88,5000,23,0.53,PE
Muli,2.9167,73.5667,Clouds,overcast clouds,301.83,304.23,301.83,301.83,1013,64,10000,95,2.59,MV
Port Macquarie,-31.4333,152.9167,Clouds,few clouds,295.36,295.33,294.82,295.93,1020,65,10000,16,0.89,AU
Tasiilaq,65.6145,-37.6368,Fog,fog,272.15,270.19,272.15,272.15,1027,100,450,90,1.54,GL
Kokoda,-8.8785,147.7407,Rain,light rain,298.33,299.31,298.33,298.33,1011,92,10000,100,0.42,PG
Brae,60.3964,-1.353,Clouds,broken clouds,276.15,271.43,276.15,276.15,1015,87,10000,75,6.17,GB
Riohacha,11.5444,-72.9072,Clouds,overcast clouds,298.28,298.99,298.28,298.28,1012,82,10000,97,3.04,CO
Atambua,-9.1061,124.8925,Clouds,few clouds,301.28,302.46,301.28,301.28,1010,57,10000,17,1.61,ID
Shingū,33.7333,135.9833,Rain,moderate rain,290.15,290.36,290.15,290.15,1006,94,3000,75,6.69,JP
Mount Gambier,-37.8333,140.7667,Clouds,broken clouds,294.15,293.98,294.15,294.15,1022,64,10000,75,3.09,AU
Murfreesboro,35.8456,-86.3903,Clouds,broken clouds,291.55,292.06,290.93,292.15,1014,100,10000,75,3.17,US
Zhangjiakou,40.81,114.8794,Clouds,broken clouds,284.98,282.61,284.98,284.98,1003,15,10000,58,11.42,CN
Labuhan,-6.8844,112.2051,Clouds,scattered clouds,303.5,307.33,303.5,303.5,1010,63,10000,49,1.94,ID
Maniitsoq,65.4167,-52.9,Clouds,overcast clouds,274.75,274.75,274.75,274.75,1030,81,10000,100,0.65,GL
Nurota,40.5614,65.6886,Clear,clear sky,301.15,300.08,301.15,301.15,1011,26,10000,5,4.12,UZ
Bubaque,11.2833,-15.8333,Clouds,broken clouds,298.34,298.72,298.34,298.34,1008,69,10000,66,7.37,GW
Calama,-22.4667,-68.9333,Clear,clear sky,279.15,275.45,279.15,279.15,1029,28,10000,0,5.66,CL
Winchester,51.0651,-1.3187,Clouds,overcast clouds,275.81,272.06,275.37,276.15,1009,87,10000,90,4.12,GB
Mahajanga,-15.7167,46.3167,Clouds,few clouds,298.15,298.74,298.15,298.15,1012,78,10000,20,2.57,MG
Yerbogachën,61.2767,108.0108,Clouds,few clouds,276.29,273.22,276.29,276.29,1020,48,10000,24,3.26,RU
Tiksi,71.6872,128.8694,Clouds,few clouds,272.86,269.31,272.86,272.86,1020,84,10000,16,2.99,RU
Port Lincoln,-34.7333,135.8667,Clear,clear sky,295.09,294.44,295.09,295.09,1021,42,10000,7,2.68,AU
Pacific Grove,36.6177,-121.9166,Clear,clear sky,285.78,285.4,284.82,288.15,1022,88,10000,3,0.75,US
Orzhytsya,49.7918,32.7012,Clouds,few clouds,280.87,278.37,280.87,280.87,1021,62,10000,11,3.96,UA
